holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,road_name,road_type,traffic_volume
,12.71,0.0,0.0,3,Clear,clear sky,01/08/2022 16:00,Cairo-Suez Road,Gateway,2130
,12.85,0.0,0.0,7,Clear,clear sky,01/08/2022 17:00,Cairo-Suez Road,Gateway,2387
,14.23,0.0,0.0,14,Clear,clear sky,01/08/2022 18:00,Cairo-Suez Road,Gateway,2764
,13.79,0.0,0.0,9,Clear,clear sky,01/08/2022 19:00,Cairo-Suez Road,Gateway,2636
,16.32,0.0,0.0,5,Clear,clear sky,01/08/2022 20:00,Cairo-Suez Road,Gateway,2176
,17.72,0.0,0.0,13,Clear,clear sky,01/08/2022 21:00,Cairo-Suez Road,Gateway,2070
,18.01,0.0,0.0,57,Clouds,scattered clouds,01/08/2022 22:00,Cairo-Suez Road,Gateway,1584
,17.58,0.0,0.0,9,Clear,clear sky,01/08/2022 23:00,Cairo-Suez Road,Gateway,1234
,16.11,0.0,0.0,23,Clouds,broken clouds,01/09/2022 00:00,Cairo-Suez Road,Gateway,371
,15.73,0.0,0.0,53,Clouds,few clouds,01/09/2022 01:00,Cairo-Suez Road,Gateway,252
,12.51,0.0,0.0,20,Dust,sand/dust whirls,01/09/2022 02:00,Cairo-Suez Road,Gateway,147
,11.28,0.0,0.0,68,Clouds,few clouds,01/09/2022 03:00,Cairo-Suez Road,Gateway,204
,10.02,0.0,0.0,4,Clear,clear sky,01/09/2022 04:00,Cairo-Suez Road,Gateway,295
,10.93,0.0,0.0,14,Clear,clear sky,01/09/2022 05:00,Cairo-Suez Road,Gateway,590
,7.29,0.0,0.0,0,Clear,clear sky,01/09/2022 06:00,Cairo-Suez Road,Gateway,1440
,7.37,0.0,0.0,3,Clear,clear sky,01/09/2022 07:00,Cairo-Suez Road,Gateway,2614
,5.62,0.0,0.0,9,Clear,clear sky,01/09/2022 08:00,Cairo-Suez Road,Gateway,2992
,5.63,0.0,0.0,43,Clouds,scattered clouds,01/09/2022 09:00,Cairo-Suez Road,Gateway,2131
,8.14,0.0,0.0,2,Clear,clear sky,01/09/2022 10:00,Cairo-Suez Road,Gateway,1394
,7.65,0.0,0.0,20,Clouds,broken clouds,01/09/2022 11:00,Cairo-Suez Road,Gateway,1298
,6.12,0.0,0.0,6,Clear,clear sky,01/09/2022 12:00,Cairo-Suez Road,Gateway,1400
,9.36,0.0,0.0,45,Clouds,broken clouds,01/09/2022 13:00,Cairo-Suez Road,Gateway,1701
,8.46,0.0,0.0,12,Clear,clear sky,01/09/2022 14:00,Cairo-Suez Road,Gateway,1742
,13.15,0.0,0.0,10,Clear,clear sky,01/09/2022 15:00,Cairo-Suez Road,Gateway,1527
,13.97,0.0,0.0,2,Clear,clear sky,01/09/2022 16:00,Cairo-Suez Road,Gateway,2255
,14.92,0.0,0.0,2,Clear,clear sky,01/09/2022 17:00,Cairo-Suez Road,Gateway,2673
,16.75,0.0,0.0,2,Clear,clear sky,01/09/2022 18:00,Cairo-Suez Road,Gateway,2362
,18.11,0.0,0.0,1,Clear,clear sky,01/09/2022 19:00,Cairo-Suez Road,Gateway,2314
,16.98,0.0,0.0,36,Clouds,broken clouds,01/09/2022 20:00,Cairo-Suez Road,Gateway,2059
,16.44,0.0,0.0,12,Clear,clear sky,01/09/2022 21:00,Cairo-Suez Road,Gateway,1226
,16.38,0.0,0.0,8,Clear,clear sky,01/09/2022 22:00,Cairo-Suez Road,Gateway,978
,18.03,0.0,0.0,28,Dust,sand/dust whirls,01/09/2022 23:00,Cairo-Suez Road,Gateway,391
,16.5,0.0,0.0,1,Clear,clear sky,01/10/2022 00:00,Cairo-Suez Road,Gateway,396
,15.61,0.0,0.0,9,Clear,clear sky,01/10/2022 01:00,Cairo-Suez Road,Gateway,252
,10.62,0.0,0.0,5,Clear,clear sky,01/10/2022 02:00,Cairo-Suez Road,Gateway,183
,14.53,0.0,0.0,21,Clouds,scattered clouds,01/10/2022 03:00,Cairo-Suez Road,Gateway,219
,11.09,0.0,0.0,2,Clear,clear sky,01/10/2022 04:00,Cairo-Suez Road,Gateway,288
,7.86,0.0,0.0,8,Clear,clear sky,01/10/2022 05:00,Cairo-Suez Road,Gateway,743
,6.51,0.0,0.0,3,Clear,clear sky,01/10/2022 06:00,Cairo-Suez Road,Gateway,1550
,9.01,0.0,0.0,10,Dust,sand/dust whirls,01/10/2022 07:00,Cairo-Suez Road,Gateway,1922
,7.24,3.3,0.0,66,Rain,light rain,01/10/2022 08:00,Cairo-Suez Road,Gateway,2318
,5.13,0.0,0.0,9,Clear,clear sky,01/10/2022 09:00,Cairo-Suez Road,Gateway,2123
,4.49,0.0,0.0,31,Clouds,scattered clouds,01/10/2022 10:00,Cairo-Suez Road,Gateway,1425
,9.21,0.0,0.0,0,Clear,clear sky,01/10/2022 11:00,Cairo-Suez Road,Gateway,1324
,6.84,0.0,0.0,51,Clouds,scattered clouds,01/10/2022 12:00,Cairo-Suez Road,Gateway,1484
,11.15,0.0,0.0,43,Clouds,scattered clouds,01/10/2022 13:00,Cairo-Suez Road,Gateway,1543
,10.23,0.0,0.0,46,Dust,sand/dust whirls,01/10/2022 14:00,Cairo-Suez Road,Gateway,1228
,12.38,0.0,0.0,50,Clouds,few clouds,01/10/2022 15:00,Cairo-Suez Road,Gateway,1612
,13.76,0.0,0.0,9,Clear,clear sky,01/10/2022 16:00,Cairo-Suez Road,Gateway,2202
,12.79,0.0,0.0,5,Clear,clear sky,01/10/2022 17:00,Cairo-Suez Road,Gateway,2538
,13.79,0.0,0.0,5,Clear,clear sky,01/10/2022 18:00,Cairo-Suez Road,Gateway,2451
,16.38,0.0,0.0,48,Clouds,broken clouds,01/10/2022 19:00,Cairo-Suez Road,Gateway,2496
,12.82,0.0,0.0,52,Clouds,scattered clouds,01/10/2022 20:00,Cairo-Suez Road,Gateway,2025
,16.43,0.0,0.0,11,Clear,clear sky,01/10/2022 21:00,Cairo-Suez Road,Gateway,1240
,16.34,0.0,0.0,20,Clouds,few clouds,01/10/2022 22:00,Cairo-Suez Road,Gateway,963
,19.19,0.0,0.0,3,Clear,clear sky,01/10/2022 23:00,Cairo-Suez Road,Gateway,530
,15.4,0.0,0.0,57,Clouds,scattered clouds,01/11/2022 00:00,Cairo-Suez Road,Gateway,371
,15.78,0.0,0.0,43,Clouds,scattered clouds,01/11/2022 01:00,Cairo-Suez Road,Gateway,226
,12.76,0.0,0.0,50,Clouds,scattered clouds,01/11/2022 02:00,Cairo-Suez Road,Gateway,206
,12.43,0.0,0.0,7,Clear,clear sky,01/11/2022 03:00,Cairo-Suez Road,Gateway,192
,11.35,0.0,0.0,0,Clear,clear sky,01/11/2022 04:00,Cairo-Suez Road,Gateway,303
,7.34,0.0,0.0,5,Clear,clear sky,01/11/2022 05:00,Cairo-Suez Road,Gateway,717
,7.43,1.4,0.0,99,Rain,light rain,01/11/2022 06:00,Cairo-Suez Road,Gateway,1283
,7.61,0.0,0.0,2,Clear,clear sky,01/11/2022 07:00,Cairo-Suez Road,Gateway,2454
,8.26,0.0,0.0,3,Clear,clear sky,01/11/2022 08:00,Cairo-Suez Road,Gateway,2342
,6.99,0.0,0.0,9,Clear,clear sky,01/11/2022 09:00,Cairo-Suez Road,Gateway,2004
,7.14,0.0,0.0,66,Clouds,few clouds,01/11/2022 10:00,Cairo-Suez Road,Gateway,1420
